node_id,node_type,name,title,chapter_number,subsection_number,subsection_label,content
198,Theme,pricing,Pricing and Price Information,,,,
199,Theme,advertising,Advertising and Marketing Practices,,,,
200,Theme,consumer_protection,Consumer Protection and Rights,,,,
201,Theme,enforcement,Enforcement and Penalties,,,,
202,Theme,vulnerable_groups,Vulnerable Consumer Groups,,,,
203,Theme,product_information,Product Information Accuracy,,,,
204,Theme,misleading_omissions,Misleading Omissions,,,,
205,Theme,trade_descriptions,Trade Descriptions of Goods,,,,
206,Theme,transactional_decisions,Transactional Decision Test,,,,
207,Theme,defences,Defences and Due Diligence,,,,
208,Theme,payment_obligations,Payment and Delivery Obligations,,,,
209,Theme,liability_parties,Liability of Parties,,,,
210,Theme,services_after_sales,Services and After-Sales Support,,,,
211,Theme,bait_advertising,Bait Advertising,,,,
212,Theme,aggressive_practices,Aggressive Commercial Practices,,,,
213,Theme,bait_and_switch,Bait and Switch,,,,
214,Theme,consumer_redress,Consumer Redress and Remedies,,,,
215,Theme,commercial_communication,Commercial Communication,,,,
216,Theme,professional_standards,Professional Diligence Standards,,,,
217,Theme,material_information,Material Information Requirements,,,,
218,Theme,endorsements_marketing,Celebrity Endorsements and Marketing,,,,
219,Theme,product_claims,Product Claims and Representations,,,,
220,Theme,information_disclosure,Information Disclosure Requirements,,,,
221,Theme,unfair_practices,Unfair Trading Practices,,,,
