node_id,node_type,name,title,chapter_number,subsection_number,subsection_label,content
227,ThemePhrase,pricing,pricing - 1.1,1,1,1.1,"Generally speaking, the fair trading sections apply to commercial practices directly connected with the sale or supply or promotion of goods or services by traders to consumers (i.e."
228,ThemePhrase,pricing,pricing - 2.14,2,14,2.14,Price is one of the most important pieces of information that can influence the purchasing decision of the consumer.
229,ThemePhrase,pricing,pricing - 2.15,2,15,2.15,It is not uncommon for traders to make price comparisons as a commercial practice.
230,ThemePhrase,pricing,pricing - 2.16,2,16,2.16,Traders who use such terms should make sure that the price reduction or discount is genuine.
231,ThemePhrase,pricing,pricing - 2.17,2,17,2.17,"Manufacturers or suppliers may set recommended retail prices (RRPs) (or use such terms as “standard price”, “reference price” or “intended price”) for certain products."
232,ThemePhrase,pricing,pricing - 2.18,2,18,2.18,"If the offer is limited to a price matching promise, traders should make it clear."
233,ThemePhrase,pricing,pricing - 2.19,2,19,2.19,General notices of “half-price sale for all items” should be avoided if in fact the sale is not applicable to certain products in the shop.
234,ThemePhrase,pricing,pricing - 2.20,2,20,2.20,The price advertised should tally with the actual selling price at the point of sale or checkout.
235,ThemePhrase,pricing,pricing - 3.14,3,14,3.14,"Section 2(1) defines transactional decision as “any decision made by a consumer, whether it is to act or to refrain from acting, concerning (a)..."
236,ThemePhrase,pricing,pricing - 3.21,3,21,3.21,"Section 13E(4) provides that if a commercial practice is an invitation to purchase, the following information is regarded as material and must be..."
237,ThemePhrase,pricing,pricing - 3.23,3,23,3.23,"If traders are making an invitation to purchase, but are unable to actually tell consumers the full price including tax or postal charges because the..."
238,ThemePhrase,pricing,pricing - 3.24,3,24,3.24,Any additional charges that come with the supply of the goods or services should be clearly communicated to consumers before they make the purchase.
239,ThemePhrase,pricing,pricing - 3.32,3,32,3.32,"In most circumstances, the price and unit of sale of the product are material information."
240,ThemePhrase,pricing,pricing - 3.37,3,37,3.37,Traders should clearly inform consumers of the price of products and how the price and any discount available are calculated before the consumers decide whether or not to buy or acquire them.
241,ThemePhrase,pricing,pricing - 5.1,5,1,5.1,Section 13G prohibits a trader from advertising goods or services at a specified price if there are no reasonable grounds for believing that the...
242,ThemePhrase,pricing,pricing - 5.2,5,2,5.2,The prohibition seeks to forbid traders from enticing consumers by advertising goods or services at an exceedingly attractive price but making them...
243,ThemePhrase,pricing,pricing - 5.4,5,4,5.4,"In examining the nature of the market, both the supply and demand sides in relation to the subject goods or services are considered."
244,ThemePhrase,pricing,pricing - 5.7,5,7,5.7,"As stated in paragraph 5.4 above, the size of the consumer demand for the advertised goods or services is generally subject to the extent of the..."
245,ThemePhrase,advertising,advertising - 1.2,1,2,1.2,"The term “commercial practice” is defined under section 2 as “any act, omission, course of conduct, representation or commercial communication..."
246,ThemePhrase,advertising,advertising - 2.10,2,10,2.10,A false claim of accreditation may constitute the offence of false trade description.
247,ThemePhrase,advertising,advertising - 2.11,2,11,2.11,"In order to attract the attention of consumers, it is common for traders to engage celebrities in product promotion activities."
248,ThemePhrase,advertising,advertising - 2.21,2,21,2.21,Claims should not be false or misleading to a material degree.
249,ThemePhrase,advertising,advertising - 2.22,2,22,2.22,"Visual promotional gimmick is commonly used to demonstrate the efficacy of slimming products, diet regimes, cosmetic creams and products and hair treatments."
250,ThemePhrase,advertising,advertising - 2.23,2,23,2.23,The TDO prohibits false or misleading claims in advertisements.
251,ThemePhrase,advertising,advertising - 2.28,2,28,2.28,Some advertisements may include such puffery claims as “the best” and “the most popular”.
252,ThemePhrase,advertising,advertising - 2.29,2,29,2.29,"Nevertheless, these claims should be used with caution when they are used with quantifiable standards or reference, for example, “the best-selling book in 2011”."
