node_id,node_type,name,title,chapter_number,subsection_number,subsection_label,content
0,Document,General Guidelines,Trade Descriptions Ordinance - General Guidelines,,,,
1,Chapter,,FAIR TRADING SECTIONS OF THE TRADE DESCRIPTIONS ORDINANCE – SCOPE OF APPLICATION,1,,,FAIR TRADING SECTIONS OF THE TRADE DESCRIPTIONS ORDINANCE – SCOPE OF APPLICATION
2,Chapter,,TRADE DESCRIPTIONS OF GOODS AND SERVICES,2,,,TRADE DESCRIPTIONS OF GOODS AND SERVICES
3,Chapter,,MISLEADING OMISSIONS,3,,,MISLEADING OMISSIONS
4,Chapter,,AGGRESSIVE COMMERCIAL PRACTICES,4,,,AGGRESSIVE COMMERCIAL PRACTICES
5,Chapter,,BAIT ADVERTISING,5,,,BAIT ADVERTISING
6,Chapter,,BAIT AND SWITCH,6,,,BAIT AND SWITCH
7,Chapter,,WRONGLY ACCEPTING PAYMENT,7,,,WRONGLY ACCEPTING PAYMENT
8,Chapter,,LIABILITY OF PARTIES INVOLVED,8,,,LIABILITY OF PARTIES INVOLVED
9,Chapter,,SANCTIONS AND POWERS AVAILABLE TO THE COMMISSIONER OF CUSTOMS AND EXCISE AND THE COMMUNICATIONS AUTHORITY,9,,,SANCTIONS AND POWERS AVAILABLE TO THE COMMISSIONER OF CUSTOMS AND EXCISE AND THE COMMUNICATIONS AUTHORITY
10,Chapter,,CONSUMER REDRESS,10,,,CONSUMER REDRESS
11,Subsection,,,1,1,1.1,"Generally speaking, the fair trading sections apply to commercial practices directly connected with the sale or supply or promotion of goods or services by traders to consumers (i.e. “business-to-consumer” conduct)2. Nevertheless, the sections do not apply to immovable property, and goods and services sold or supplied by a person regulated, licensed, registered, recognized or authorized under the Insurance Companies Ordinance (Cap. 41), the Banking Ordinance (Cap. 155), the Mandatory Provident Fund Schemes Ordinance (Cap. 485) or the Securities and Futures Ordinance (Cap. 571), being goods or services the sale or supply of which by that person is itself regulated under the respective Ordinances referred to and under which the person is regulated, licensed, registered, recognized or authorized3. In addition, commercial practices engaged by a person acting in the capacity of a professional person listed in Schedule 3 to the TDO are not regulated by the fair trading sections, except for the offence of sections 4 and 5 in relation to goods, and false trade description of goods in section 7. What is a “commercial practice”?"
12,Subsection,,,1,2,1.2,"The term “commercial practice” is defined under section 2 as “any act, omission, course of conduct, representation or commercial communication (including advertising and marketing) by a trader which is directly connected with the promotion of a product4 to consumers or the sale or supply of a product to or from consumers, whether occurring before, during or after a commercial transaction (if any) in relation to a product”."
13,Subsection,,,1,3,1.3,"Commercial practice, as defined, may include traders’ activities like promotion sales, offers of discounts, price reduction, offer of free gifts or samples and advertising. It is important to note that a commercial practice may occur not only before or during a transaction (if any) of a product (including goods and services), for example, at the marketing, sale, supply and payment stages; it may also occur after a consumer transaction has been completed (such as provision of warranties, maintenance and after-sale services, and contract cancellation mechanisms). Who is a consumer and who is a trader?"
14,Subsection,,,1,4,1.4,"Section 2 defines “consumer” as “an individual who, in relation to a commercial practice, is acting, or purporting to act, primarily for purposes that are unrelated to the person’s trade or business”. For the purpose of the fair trading sections, a consumer is a natural person and not any 2 Exceptions are sections 4 and 5 about the requirement of provision of information in relation to goods, and section 7 about trade descriptions of goods applied in the course of any trade or business.               They apply to both “business-to-consumer” and “business-to-business” conduct. 3 Schedule 4 to the TDO. 4 Product means any goods or services but does not include any goods or services covered by Schedule 4 to the TDO. 3 other legal person (e.g. a company). In addition, whether or not an individual is a consumer will depend on whether or not the relevant activity is carried out primarily for a purpose that is unrelated to the person’s trade or business."
15,Subsection,,,1,5,1.5,"Section 2 defines “trader” as “any person (other than an exempt person) who, in relation to a commercial practice, is acting, or purporting to act, for purposes relating to the person’s trade or business”. A trader can be a natural person, a company or other form of a body corporate. It should be noted that a reference to a trader includes any person acting in the name of, or on behalf of, a trader (section 2(5)). The assessment of whether or not an entity is acting as a trader in relation to a commercial practice will depend on whether or not the relevant activity is carried out for purposes relating to its trade or business. Thus, a person who sells goods or provides services to a consumer in the capacity of an employee or a sales representative of a company is regarded as a trader for the purposes of the fair trading sections. In contrast, a person selling certain goods on the internet occasionally to dispose of unwanted personal items in his private capacity would unlikely be held to be acting for purposes relating to his trade or business. Please refer to Chapter 8 for further details on the liability of parties involved. Do the fair trading sections apply to conduct between consumers?"
16,Subsection,,,1,6,1.6,"The fair trading sections do not apply to “consumer-to-consumer” conduct. For example, a person who sells his car which has been used for private leisure purposes to another person who acquires it for the same purposes is not regulated by the sections. Do the fair trading sections apply to transactions involving traders buying from consumers?"
17,Subsection,,,1,7,1.7,"The fair trading sections of section 13E (on misleading omissions), section 13F (on aggressive commercial practices), section 13G (on bait advertising), section 13H (on bait and switch) and section 13I (on wrongly accepting payment) apply to “commercial practices”. Since “commercial practices” include practices that are “directly connected with the promotion of a product to consumers or the sale or supply of a product to or from consumers”, it also covers arrangements that are commonly known as “buy-back” and those under which traders acquire products from consumers. To quote a few examples, a consumer may trade-in his existing car to the car dealer when he purchases a new one; gold and jewelry retailers may purchase gold articles from consumers for resale. Other traders including antique shops, retailers of second-hand goods, handbag and luxury goods shops may also purchase goods from consumers. Who is an exempt person?"
18,Subsection,,,1,8,1.8,"The fair trading sections (exceptions are sections 4 and 5 about the requirement of provision of information in relation to goods, and section 7 about trade descriptions of goods 4 applied in the course of any trade or business) do not apply to the list of persons at Schedule 3 to the TDO when these persons act in the capacities in which they are registered or regulated under the respective Ordinances as set out in the Schedule. The commercial practices of these exempt persons are regulated by the professional bodies established under the respective Ordinances. 5 2. TRADE DESCRIPTIONS OF GOODS AND SERVICES Don’t give any false or misleading product information to consumers. If traders are uncertain of the truthfulness of any product information, they should verify it and should not provide it to the consumers impetuously."
19,Subsection,,,10,1,10.1,"Aggrieved consumers may seek restorative justice under section 36 whereby they may institute private actions for damages if they have suffered loss or damages due to conduct directed to the claimant which constitutes a fair trading offence. Separately, under section 18A, where a person is convicted of any of the fair trading offences, the court may order the convicted person to compensate any person for the financial loss resulting from the offence. Commissioner of Customs and Excise Communications Authority July 2013 44"
20,Subsection,,,2,1,2.1,"Section 7 provides that it is an offence for any person, in the course of his trade or business, to apply a false trade description to any goods; or supply or offer to supply any goods to which a false trade description is applied. It is also an offence for any person to have in his possession for sale or for any purpose of trade or manufacture any goods to which a false trade description is applied. This section applies to both business-to-consumer and business-to-business conduct. Persons listed in Schedule 3 are not exempted."
21,Subsection,,,2,10,2.10,"Accreditation is common for businesses as an accreditation generally connotes good quality and services. A false claim of accreditation may constitute the offence of false trade description. 6 The Queen v. Wong Yan-chuen, CACC 523/1987 7"
22,Subsection,,,2,11,2.11,"In order to attract the attention of consumers, it is common for traders to engage celebrities in product promotion activities. Traders making reference that a celebrity has acquired or used the product will not contravene sections 7 and 7A if the reference is valid and genuine. Sections 7 and 7A do not prohibit traders from engaging celebrities solely for brand or image building. Please also refer to paragraph 3.41 for more details for avoiding the commission of the offence of misleading omissions."
23,Subsection,,,2,12,2.12,"In some situations, a key factor that consumers will take into account in deciding whether to patronize or not is who the person providing the service is. 8"
24,Subsection,,,2,13,2.13,"Traders may sell goods with after-sale service, for example, maintenance or warranty services. Traders should ensure that they can provide the after-sale service as claimed."
